38	501 Willow Lane, Greenville AL 36037	42 Fairhaven Commons Way, Fairhaven MA 2719
39	1775 Washington St, Hanover MA 2339	701 Mcmeans Ave, Bay Minette AL 36507
40	2041 Douglas Avenue, Brewton AL 36426	43 Stephenville St, Massena NY 13662
41	209 Lakeshore Parkway, Homewood AL 35209	3501 20th Av, Valley AL 36854
42	42 Fairhaven Commons Way, Fairhaven MA 2719	15445 Highway 24, Moulton AL 35650
43	30 Memorial Drive, Avon MA 2322	214 Haynes Street, Talladega AL 35160
44	1300 Gilmer Ave, Tallassee AL 36078	337 Russell St, Hadley MA 1035
45	630 Coonial Promenade Pkwy, Alabaster AL 35007	150 Barnum Avenue Cutoff, Stratford CT 6614
46	420 Buckland Hills Dr, Manchester CT 6040	297 Grant Avenue, Auburn NY 13021
47	6495 Atlanta Hwy, Montgomery AL 36117	630 Coonial Promenade Pkwy, Alabaster AL 35007
48	2900 Pepperrell Pkwy, Opelika AL 36801	1470 S Washington St, North Attleboro MA 2760
49	540 West Bypass, Andalusia AL 36420	295 Plymouth Street, Halifax MA 2338
50	352 Palmer Road, Ware MA 1082	7855 Moffett Rd, Semmes AL 36575
51	1400 Farmington Ave, Bristol CT 6010	780 Lynnway, Lynn MA 1905
52	1501 Skyland Blvd E, Tuscaloosa AL 35405	280 Washington Street, Hudson MA 1749
53	161 Berlin Road, Cromwell CT 6416	3801 Eastern Blvd, Montgomery AL 36116
54	11610 Memorial Pkwy South, Huntsville AL 35803	300 Colony Place, Plymouth MA 2360
55	145 Kelley Blvd, Millbrook AL 36054	1537 Hwy 231 South, Ozark AL 36360
56	506 State Road, North Dartmouth MA 2747	990 Route 5 20, Geneva NY 14456
57	5245 Rangeline Service Rd, Mobile AL 36619	137 Teaticket Hwy, East Falmouth MA 2536
58	8064 Brewerton Rd, Cicero NY 13039	200 Dutch Meadows Ln, Glenville NY 12302
59	5783 So Transit Road, Lockport NY 14094	1801 Hwy 78 East, Jasper AL 35501
60	680 Connecticut Avenue, Norwalk CT 6854	55 Brooksby Village Way, Danvers MA 1923
61	101 Sanford Farm Shpg Center, Amsterdam NY 12010	141 Washington Ave Extension, Albany NY 12205
62	1365 Boston Post Road, Milford CT 6460	11697 US Hwy 431, Guntersville AL 35976
63	36 Paramount Drive, Raynham MA 2767	1100 New Haven Road, Naugatuck CT 6770
64	69 Prospect Hill Road, East Windsor CT 6088	24833 Johnt Reidprkw, Scottsboro AL 35768
65	420 Buckland Hills Dr, Manchester CT 6040	2041 Douglas Avenue, Brewton AL 36426
66	69 Prospect Hill Road, East Windsor CT 6088	30 Memorial Drive, Avon MA 2322
67	120 Commercial Parkway, Branford CT 6405	600 Boll Weevil Circle, Enterprise AL 36330
68	690 Hwy 78, Sumiton AL 35148	969 Us Hwy 80 West, Demopolis AL 36732
69	30 Memorial Drive, Avon MA 2322	1300 Gilmer Ave, Tallassee AL 36078
70	1400 Farmington Ave, Bristol CT 6010	450 Highland Ave, Salem MA 1970
71	352 Palmer Road, Ware MA 1082	6350 Cottage Hill Road, Mobile AL 36609
72	30 Catskill, Catskill NY 12414	27520 Hwy 98, Daphne AL 36526
73	67 Newton Rd, Danbury CT 6810	3005 Cranberry Hwy Rt 6 28, Wareham MA 2538
74	233 5th Ave Ext, Johnstown NY 12095	6350 Cottage Hill Road, Mobile AL 36609
75	1000 State Route 36, Hornell NY 14843	540 West Bypass, Andalusia AL 36420
76	2001 Glenn Bldv Sw, Fort Payne AL 35968	2780 John Hawkins Pkwy, Hoover AL 35244
77	235 Queen St, Southington CT 6489	1180 Fall River Avenue, Seekonk MA 2771
78	11697 US Hwy 431, Guntersville AL 35976	3949 Route 31, Clay NY 13041
79	1011 US Hwy 72 East, Athens AL 35611	161 Centereach Mall, Centereach NY 11720
80	13675 Hwy 43, Russellville AL 35653	690 Hwy 78, Sumiton AL 35148
81	3133 E Main St, Mohegan Lake NY 10547	685 Schillinger Rd, Mobile AL 36695
82	1916 Center Point Rd, Center Point AL 35215	250 Rt 59, Airmont NY 10901
83	656 New Haven Ave, Derby CT 6418	830 Curran Memorial Hwy, North Adams MA 1247
84	6495 Atlanta Hwy, Montgomery AL 36117	1105 Boston Road, Springfield MA 1119
85	11 Jungle Road, Leominster MA 1453	910 Wolcott St, Waterbury CT 6705
86	990 Route 5 20, Geneva NY 14456	470 Route 211 East, Middletown NY 10940
87	7155 State Rt 12 S, Lowville NY 13367	5783 So Transit Road, Lockport NY 14094
88	685 Schillinger Rd, Mobile AL 36695	350 E Fairmount Ave, Lakewood NY 14750
89	41301 US Hwy 280, Sylacauga AL 35150	1625 Pelham South, Jacksonville AL 36265
90	990 Route 5 20, Geneva NY 14456	214 Haynes Street, Talladega AL 35160
91	301 Falls Blvd, Quincy MA 2169	1600 Montclair Rd, Birmingham AL 35210
92	973 Gilbert Ferry Road Se, Attalla AL 35954	2900 Pepperrell Pkwy, Opelika AL 36801
93	3700 Hwy 280-431 N, Phenix City AL 36867	969 Us Hwy 80 West, Demopolis AL 36732
94	900 Boston Post Road, Guilford CT 6437	2400 Route 9, Fishkill NY 12524
95	7855 Moffett Rd, Semmes AL 36575	10040 County Road 48, Fairhope AL 36533
96	780 Lynnway, Lynn MA 1905	5335 Hwy 280 South, Hoover AL 35242
97	374 William S Canning Blvd, Fall River MA 2721	420 Buckland Hills Dr, Manchester CT 6040
98	890 Odum Road, Gardendale AL 35071	1549 Rt 9, Halfmoon NY 12065
99	250 Rt 59, Airmont NY 10901	121 Worcester Rd, Framingham MA 1701
